env_id,city,route_id,segment_start_lat,segment_start_lon,segment_end_lat,segment_end_lon,time_window_start,time_window_end,time_of_day,weekday,traffic_index,congestion_score,avg_speed_kmph,reliability_pct,weather,weather_severity,weather_speed_factor,road_condition,road_condition_factor,incident_flag,incident_type,incident_delay_min,elevation_gain_m,slope_pct_avg,temp_celsius,humidity_pct,air_quality_index,fuel_modifier,time_modifier,last_updated
env_0001,Pune,R000514,18.485043,73.812903,18.548836,73.8271,2025-11-14T07:00:00,2025-11-14T08:00:00,morning,Wednesday,1.53,23,23.9,80.4,Clear,0,1.0,Good,1.0,False,None,0,119.7,4.73,33.2,84,123,1.418,1.53,2025-11-13T11:04:37.287404
env_0002,Pune,R000097,18.563048,73.845455,18.56607,73.904282,2025-11-14T16:00:00,2025-11-14T17:00:00,afternoon,Friday,0.85,42,26.0,89.1,Storm,3,0.75,Good,1.0,False,None,0,192.0,6.14,27.1,77,189,0.809,0.64,2025-11-13T11:04:37.287467
env_0003,Pune,R000403,18.548015,73.903129,18.499818,73.824443,2025-11-14T08:00:00,2025-11-14T09:00:00,morning,Tuesday,1.67,75,11.5,51.8,Clear,0,1.0,Good,1.0,False,None,0,254.6,25.04,28.5,49,60,1.719,1.67,2025-11-13T11:04:37.287519
env_0004,Delhi,R000661,28.623588,77.236366,28.626437,77.243314,2025-11-14T15:00:00,2025-11-14T16:00:00,afternoon,Thursday,1.51,80,18.2,85.3,Clear,0,1.0,Good,1.0,False,None,0,25.1,1.0,27.8,74,153,1.367,1.51,2025-11-13T11:04:37.287561
env_0005,Bengaluru,R000716,12.94372,77.565935,12.954788,77.58068,2025-11-14T12:00:00,2025-11-14T13:00:00,afternoon,Sunday,1.36,70,36.7,87.1,Heatwave,1,0.95,Good,1.0,False,None,0,136.5,3.68,30.6,79,112,1.24,1.29,2025-11-13T11:04:37.287596
env_0006,Bengaluru,R000658,12.959737,77.624221,12.932937,77.570259,2025-11-14T15:00:00,2025-11-14T16:00:00,afternoon,Monday,1.62,57,20.4,72.9,Clear,0,1.0,Good,1.0,False,None,0,99.5,7.98,23.3,89,187,1.514,1.62,2025-11-13T11:04:37.287644
env_0007,Chennai,R000016,13.095393,80.241778,13.095651,80.242018,2025-11-14T19:00:00,2025-11-14T20:00:00,evening,Sunday,0.89,78,49.4,89.5,Rain,2,0.88,Good,1.0,False,None,0,26.3,0.86,22.3,85,134,0.875,0.78,2025-11-13T11:04:37.287693
env_0008,Bengaluru,R000180,12.928925,77.562399,12.946791,77.551644,2025-11-14T13:00:00,2025-11-14T14:00:00,afternoon,Wednesday,1.17,67,31.7,69.5,Clear,0,1.0,Moderate,1.08,False,None,0,194.2,6.8,32.6,77,61,1.25,1.26,2025-11-13T11:04:37.287748
env_0009,Pune,R000149,18.50617,73.856984,18.499384,73.875288,2025-11-14T08:00:00,2025-11-14T09:00:00,morning,Wednesday,1.49,66,19.0,87.0,Clear,0,1.0,Good,1.0,False,None,0,225.3,6.65,33.9,58,212,1.409,1.49,2025-11-13T11:04:37.287786
env_0010,Delhi,R000611,28.631629,77.250417,28.643402,77.231932,2025-11-14T17:00:00,2025-11-14T18:00:00,evening,Monday,1.3,81,15.3,51.9,Clear,0,1.0,Good,1.0,False,None,0,30.1,1.85,32.4,86,138,1.228,1.3,2025-11-13T11:04:37.287835
env_0011,Delhi,R000846,28.654463,77.244146,28.578146,77.177399,2025-11-14T14:00:00,2025-11-14T15:00:00,afternoon,Tuesday,0.9,95,47.8,88.4,Storm,3,0.75,Poor,1.15,False,None,0,141.1,5.33,26.1,44,114,0.899,0.78,2025-11-13T11:04:37.287868
env_0012,Bengaluru,R000405,12.994159,77.593319,12.954685,77.557422,2025-11-14T13:00:00,2025-11-14T14:00:00,afternoon,Monday,1.06,18,43.9,64.3,Clear,0,1.0,Moderate,1.08,False,None,0,177.3,6.57,27.1,60,159,1.164,1.14,2025-11-13T11:04:37.287923
