route_id,polyline,start_lat,start_lon,end_lat,end_lon,city,road_type_split,intersection_count,curvature_score,distance_km,duration_min,traffic_level,congestion_index,avg_speed_kmph,time_of_day,weekday,elevation_gain_m,elevation_loss_m,avg_slope_pct,last_updated
R000001,,17.408269,78.518717,17.415285,78.522214,Hyderabad,"{""highway"": 0.43, ""urban"": 0.27, ""local"": 0.3}",33,0.627,55.98,99.6,5,52,33.72,morning,Friday,306.0,79.9,0.55,2025-11-13T11:00:07.335570
R000002,,17.393505,78.453357,17.355571,78.444484,Hyderabad,"{""highway"": 0.66, ""urban"": 0.32, ""local"": 0.02}",132,0.003,50.39,92.89,0,8,32.55,morning,Wednesday,342.6,255.1,0.68,2025-11-13T11:00:07.335627
R000003,,18.511853,73.895254,18.528209,73.880358,Pune,"{""highway"": 0.56, ""urban"": 0.33, ""local"": 0.11}",4,0.216,14.72,28.85,4,47,30.61,morning,Wednesday,81.3,71.0,0.55,2025-11-13T11:00:07.335667
R000004,,17.386824,78.532566,17.339154,78.453114,Hyderabad,"{""highway"": 0.03, ""urban"": 0.75, ""local"": 0.22}",91,0.324,59.01,204.81,1,34,17.29,morning,Thursday,188.7,29.6,0.32,2025-11-13T11:00:07.335710
R000005,,12.998841,77.581375,12.989471,77.620726,Bengaluru,"{""highway"": 0.26, ""urban"": 0.56, ""local"": 0.18}",80,0.55,29.37,36.16,1,46,48.73,morning,Friday,338.1,311.9,1.15,2025-11-13T11:00:07.335741
R000006,,12.971089,77.63385,12.955156,77.564925,Bengaluru,"{""highway"": 0.58, ""urban"": 0.41, ""local"": 0.01}",2,0.886,10.6,20.64,4,94,30.81,morning,Wednesday,51.3,33.7,0.48,2025-11-13T11:00:07.335777
R000007,,17.341612,78.511846,17.381087,78.454894,Hyderabad,"{""highway"": 0.63, ""urban"": 0.36, ""local"": 0.01}",103,0.823,55.22,91.87,0,27,36.06,evening,Wednesday,62.2,35.6,0.11,2025-11-13T11:00:07.335814
R000008,,12.985974,77.618956,12.984414,77.601723,Bengaluru,"{""highway"": 0.62, ""urban"": 0.21, ""local"": 0.17}",76,0.771,45.2,117.02,2,77,23.18,evening,Monday,43.9,22.4,0.1,2025-11-13T11:00:07.335875
R000009,,13.08629,80.231457,13.108583,80.236317,Chennai,"{""highway"": 0.52, ""urban"": 0.33, ""local"": 0.15}",96,0.264,52.94,145.81,0,61,21.78,afternoon,Thursday,140.6,63.2,0.27,2025-11-13T11:00:07.335912
R000010,,28.598407,77.251099,28.631514,77.22156,Delhi,"{""highway"": 0.21, ""urban"": 0.39, ""local"": 0.4}",103,0.209,56.1,66.32,4,29,50.75,evening,Monday,171.7,46.8,0.31,2025-11-13T11:00:07.335941
R000011,,19.062841,72.914198,19.067926,72.843753,Mumbai,"{""highway"": 0.7, ""urban"": 0.24, ""local"": 0.06}",2,0.032,9.43,18.59,0,30,30.44,morning,Tuesday,52.5,50.0,0.56,2025-11-13T11:00:07.335968
R000012,,17.349851,78.457326,17.391985,78.472589,Hyderabad,"{""highway"": 0.29, ""urban"": 0.47, ""local"": 0.24}",26,0.657,58.69,84.43,4,16,41.71,morning,Friday,184.7,101.5,0.31,2025-11-13T11:00:07.336007
R000013,,19.084808,72.90587,19.042371,72.869159,Mumbai,"{""highway"": 0.33, ""urban"": 0.22, ""local"": 0.45}",7,0.017,2.45,4.96,2,50,29.64,afternoon,Thursday,285.7,188.0,11.66,2025-11-13T11:00:07.336049
R000014,,28.601872,77.221253,28.620926,77.207617,Delhi,"{""highway"": 0.33, ""urban"": 0.4, ""local"": 0.27}",11,0.46,8.0,25.81,5,11,18.6,afternoon,Wednesday,292.3,153.5,3.65,2025-11-13T11:00:07.336080
R000015,,28.60222,77.213328,28.663826,77.227603,Delhi,"{""highway"": 0.59, ""urban"": 0.2, ""local"": 0.21}",72,0.732,28.82,53.35,0,78,32.41,afternoon,Monday,224.0,35.7,0.78,2025-11-13T11:00:07.336107
R000016,,13.113484,80.230146,13.089385,80.242059,Chennai,"{""highway"": 0.59, ""urban"": 0.31, ""local"": 0.1}",44,0.451,17.38,32.85,4,62,31.74,morning,Friday,141.2,35.2,0.81,2025-11-13T11:00:07.336134
R000017,,18.507198,73.84667,18.538891,73.848851,Pune,"{""highway"": 0.27, ""urban"": 0.5, ""local"": 0.23}",5,0.97,7.55,14.14,0,77,32.04,morning,Saturday,59.9,43.6,0.79,2025-11-13T11:00:07.336159
R000018,,13.105917,80.248328,13.113334,80.268632,Chennai,"{""highway"": 0.69, ""urban"": 0.23, ""local"": 0.08}",3,0.936,20.61,42.12,4,43,29.36,afternoon,Wednesday,254.5,93.4,1.23,2025-11-13T11:00:07.336185
R000019,,12.923255,77.600946,13.000525,77.623099,Bengaluru,"{""highway"": 0.48, ""urban"": 0.33, ""local"": 0.19}",34,0.393,20.37,27.61,4,44,44.27,evening,Friday,100.0,21.0,0.49,2025-11-13T11:00:07.336212
R000020,,19.076207,72.881418,19.091832,72.92483,Mumbai,"{""highway"": 0.19, ""urban"": 0.39, ""local"": 0.42}",8,0.83,42.41,154.45,3,59,16.48,evening,Saturday,246.2,180.4,0.58,2025-11-13T11:00:07.336238
R000021,,17.34427,78.475676,17.399239,78.510647,Hyderabad,"{""highway"": 0.64, ""urban"": 0.26, ""local"": 0.1}",42,0.679,14.56,30.12,5,24,29.0,afternoon,Wednesday,5.0,0.8,0.03,2025-11-13T11:00:07.336263
R000022,,13.064319,80.224621,13.057228,80.280754,Chennai,"{""highway"": 0.4, ""urban"": 0.56, ""local"": 0.04}",79,0.69,28.01,55.26,3,22,30.41,morning,Thursday,268.6,100.5,0.96,2025-11-13T11:00:07.336288
R000023,,18.471515,73.882209,18.493476,73.904359,Pune,"{""highway"": 0.13, ""urban"": 0.23, ""local"": 0.64}",16,0.097,14.3,31.04,3,81,27.64,morning,Sunday,308.4,98.6,2.16,2025-11-13T11:00:07.336316
R000024,,28.600951,77.179041,28.585407,77.168565,Delhi,"{""highway"": 0.01, ""urban"": 0.3, ""local"": 0.69}",41,0.315,16.39,26.67,5,40,36.87,evening,Thursday,341.1,105.9,2.08,2025-11-13T11:00:07.336376
R000025,,19.049568,72.837643,19.094494,72.894922,Mumbai,"{""highway"": 0.66, ""urban"": 0.33, ""local"": 0.01}",29,0.047,30.52,54.42,0,39,33.65,afternoon,Saturday,298.5,276.5,0.98,2025-11-13T11:00:07.336418
R000026,,28.565867,77.173395,28.606337,77.201085,Delhi,"{""highway"": 0.11, ""urban"": 0.25, ""local"": 0.64}",33,0.075,11.22,16.64,2,23,40.46,evening,Tuesday,287.0,102.3,2.56,2025-11-13T11:00:07.336451
R000027,,19.122,72.857154,19.080151,72.868277,Mumbai,"{""highway"": 0.62, ""urban"": 0.25, ""local"": 0.13}",37,0.444,20.56,27.72,5,26,44.5,morning,Friday,250.5,96.4,1.22,2025-11-13T11:00:07.336478
R000028,,13.057986,80.289859,13.061681,80.220928,Chennai,"{""highway"": 0.32, ""urban"": 0.44, ""local"": 0.24}",14,0.539,34.31,84.49,4,53,24.37,morning,Saturday,315.1,34.3,0.92,2025-11-13T11:00:07.336504
R000029,,13.001278,77.585825,13.017121,77.616509,Bengaluru,"{""highway"": 0.45, ""urban"": 0.35, ""local"": 0.2}",69,0.742,27.5,45.4,0,21,36.34,afternoon,Tuesday,182.4,147.0,0.66,2025-11-13T11:00:07.336529
R000030,,18.501803,73.846311,18.566507,73.880704,Pune,"{""highway"": 0.3, ""urban"": 0.41, ""local"": 0.29}",76,0.709,47.37,80.56,3,5,35.28,morning,Thursday,339.9,303.2,0.72,2025-11-13T11:00:07.336555
