trip_id,assignment_id,driver_id,vehicle_id,route_id,start_time,end_time,distance_km,duration_min,fuel_before_l,fuel_after_l,fuel_used_l,co2_kg,avg_speed_kmph,stop_count,anomaly_flag,geo_trace,created_at
T000001,A000417,d0199,v0038,R000359,2025-11-18T16:00:00,2025-11-18T17:56:00,35.22,116,39.29,34.43,7.16,13.604,18.22,76,False,[],2025-11-13T11:09:24.181002
T000002,A000399,d0129,v0128,R000295,2025-11-18T11:30:00,2025-11-18T12:41:00,25.75,71,46.34,11.7,2.992,5.685,21.76,11,False,[],2025-11-13T11:09:24.182464
T000003,A000241,d0120,v0051,R000643,2025-11-16T20:00:00,2025-11-16T21:00:00,15.71,60,21.32,22.13,1.298,2.998,15.71,39,False,[],2025-11-13T11:09:24.183849
T000004,A000303,d0012,v0045,R000747,2025-11-17T11:30:00,2025-11-17T12:05:00,22.66,35,24.28,24.19,5.501,12.707,38.85,24,False,[],2025-11-13T11:09:24.185314
T000005,A000278,d0088,v0015,R001102,2025-11-17T05:15:00,2025-11-17T05:21:00,2.76,6,47.43,17.25,0.481,1.111,27.6,8,False,[],2025-11-13T11:09:24.186693
T000006,A000375,d0061,v0121,R000805,2025-11-18T05:30:00,2025-11-18T06:25:00,19.03,55,20.36,20.65,3.353,8.986,20.76,21,False,[],2025-11-13T11:09:24.188065
T000007,A000298,d0191,v0134,R000381,2025-11-17T10:15:00,2025-11-17T10:29:00,4.62,14,32.19,22.67,1.108,2.105,19.8,7,False,[],2025-11-13T11:09:24.189428
T000008,A000197,d0097,v0069,R000375,2025-11-16T09:00:00,2025-11-16T10:08:00,47.5,68,25.82,18.64,6.832,15.782,41.91,123,False,[],2025-11-13T11:09:24.190700
T000009,A000117,d0112,v0130,R000823,2025-11-15T13:00:00,2025-11-15T13:03:00,3.39,3,51.26,18.49,0.73,1.387,67.8,2,False,[],2025-11-13T11:09:24.192073
T000010,A000210,d0024,v0022,R001185,2025-11-16T12:15:00,2025-11-16T13:51:00,35.75,96,34.2,36.06,12.661,33.931,22.34,39,False,[],2025-11-13T11:09:24.193347
T000011,A000085,d0165,v0068,R000115,2025-11-15T05:00:00,2025-11-15T05:26:00,15.84,26,34.35,18.32,3.33,8.924,36.55,21,False,[],2025-11-13T11:09:24.194679
T000012,A000330,d0018,v0096,R000753,2025-11-17T18:15:00,2025-11-17T18:40:00,7.27,25,31.32,13.16,1.625,3.754,17.45,20,False,[],2025-11-13T11:09:24.195929
T000013,A000179,d0141,v0095,R001028,2025-11-16T04:30:00,2025-11-16T05:11:00,17.58,41,57.32,32.3,2.28,6.11,25.73,36,False,[],2025-11-13T11:09:24.197257
T000014,A000139,d0044,v0044,R000989,2025-11-15T18:30:00,2025-11-15T21:17:00,55.57,167,47.24,39.26,13.192,25.065,19.97,139,False,[],2025-11-13T11:09:24.198462
T000015,A000172,d0156,v0107,R000739,2025-11-16T02:45:00,2025-11-16T03:27:00,23.54,42,59.95,34.85,2.865,5.444,33.63,12,False,[],2025-11-13T11:09:24.199742
T000016,A000297,d0136,v0103,R001069,2025-11-17T10:00:00,2025-11-17T10:59:00,25.64,59,29.31,25.54,4.041,7.678,26.07,64,False,[],2025-11-13T11:09:24.201068
T000017,A000005,d0144,v0078,R001100,2025-11-14T09:00:00,2025-11-14T09:34:00,41.16,34,57.99,34.62,5.551,12.823,72.64,49,False,[],2025-11-13T11:09:24.202359
T000018,A000338,d0183,v0004,R000461,2025-11-17T20:15:00,2025-11-17T20:29:00,6.66,14,36.26,17.9,0.999,2.308,28.54,9,False,[],2025-11-13T11:09:24.203589
T000019,A000452,d0136,v0003,R000847,2025-11-19T00:45:00,2025-11-19T01:53:00,24.5,68,47.95,10.85,1.944,4.491,21.62,20,False,[],2025-11-13T11:09:24.204923
T000020,A000485,d0124,v0003,R001055,2025-11-19T09:00:00,2025-11-19T09:18:00,11.9,18,25.19,34.65,0.768,1.774,39.67,28,False,[],2025-11-13T11:09:24.206183
T000021,A000475,d0021,v0029,R000675,2025-11-19T06:30:00,2025-11-19T07:00:00,7.81,30,38.64,35.43,1.276,2.424,15.62,22,False,[],2025-11-13T11:09:24.207434
T000022,A000423,d0032,v0129,R000799,2025-11-18T17:30:00,2025-11-18T18:50:00,24.98,80,41.48,37.78,4.156,7.896,18.74,53,False,[],2025-11-13T11:09:24.208703
T000023,A000447,d0027,v0109,R000415,2025-11-18T23:30:00,2025-11-19T00:49:00,33.95,79,20.01,16.3,10.846,20.607,25.78,87,False,[],2025-11-13T11:09:24.210032
T000024,A000265,d0010,v0106,R000997,2025-11-17T02:00:00,2025-11-17T04:51:00,54.14,171,21.14,20.41,7.118,16.443,19.0,105,False,[],2025-11-13T11:09:24.211298
T000025,A000466,d0003,v0083,R000709,2025-11-19T04:15:00,2025-11-19T05:01:00,17.8,46,25.38,25.51,4.15,9.586,23.22,51,False,[],2025-11-13T11:09:24.212579
T000026,A000235,d0020,v0073,R000409,2025-11-16T18:30:00,2025-11-16T19:22:00,18.32,52,20.97,14.26,2.94,5.586,21.14,7,False,[],2025-11-13T11:09:24.213889
T000027,A000227,d0177,v0029,R000934,2025-11-16T16:30:00,2025-11-16T17:53:00,27.16,83,59.03,19.59,4.268,8.109,19.63,70,False,[],2025-11-13T11:09:24.215148
T000028,A000366,d0172,v0029,R000947,2025-11-18T03:15:00,2025-11-18T05:37:00,53.08,142,47.73,24.24,10.232,19.441,22.43,109,False,[],2025-11-13T11:09:24.216457
T000029,A000008,d0154,v0064,R000168,2025-11-14T09:45:00,2025-11-14T12:19:00,58.39,154,41.91,13.87,13.253,35.518,22.75,159,False,[],2025-11-13T11:09:24.217772
T000030,A000252,d0178,v0033,R000036,2025-11-16T22:45:00,2025-11-16T23:12:00,10.13,27,52.8,35.9,0.608,1.155,22.51,12,False,[],2025-11-13T11:09:24.219034
T000031,A000104,d0177,v0131,R000537,2025-11-15T09:45:00,2025-11-15T11:04:00,30.7,79,36.41,23.41,5.385,14.432,23.32,44,False,[],2025-11-13T11:09:24.220358
T000032,A000371,d0004,v0144,R000710,2025-11-18T04:30:00,2025-11-18T04:58:00,15.31,28,51.01,16.72,4.062,7.718,32.81,17,False,[],2025-11-13T11:09:24.221642
T000033,A000259,d0139,v0111,R000614,2025-11-17T00:30:00,2025-11-17T00:41:00,7.32,11,37.64,20.8,1.335,2.536,39.93,14,False,[],2025-11-13T11:09:24.222909
T000034,A000184,d0034,v0123,R001082,2025-11-16T05:45:00,2025-11-16T09:23:00,58.53,218,53.26,30.53,8.166,21.885,16.11,130,False,[],2025-11-13T11:09:24.224182
T000035,A000011,d0011,v0007,R000980,2025-11-14T10:30:00,2025-11-14T11:02:00,28.86,32,24.91,11.77,5.053,13.542,54.11,70,False,[],2025-11-13T11:09:24.225738
T000036,A000077,d0068,v0068,R000428,2025-11-15T03:00:00,2025-11-15T04:47:00,55.89,107,26.41,37.0,12.034,32.251,31.34,156,False,[],2025-11-13T11:09:24.227257
T000037,A000282,d0117,v0017,R000961,2025-11-17T06:15:00,2025-11-17T07:15:00,25.33,60,26.7,11.41,3.418,9.16,25.33,37,False,[],2025-11-13T11:09:24.228541
T000038,A000036,d0027,v0060,R000291,2025-11-14T16:45:00,2025-11-14T17:11:00,19.36,26,50.39,34.89,4.276,8.124,44.68,18,False,[],2025-11-13T11:09:24.229816
T000039,A000042,d0083,v0061,R000461,2025-11-14T18:15:00,2025-11-14T18:28:00,6.66,13,41.71,35.54,0.816,2.187,30.74,9,False,[],2025-11-13T11:09:24.231049
T000040,A000493,d0070,v0039,R000710,2025-11-19T11:00:00,2025-11-19T11:25:00,15.31,25,39.74,29.9,2.961,5.626,36.74,17,False,[],2025-11-13T11:09:24.232271
T000041,A000373,d0104,v0001,R000498,2025-11-18T05:00:00,2025-11-18T07:30:00,58.42,150,39.51,28.12,8.816,16.75,23.37,154,False,[],2025-11-13T11:09:24.233548
T000042,A000121,d0118,v0006,R000864,2025-11-15T14:00:00,2025-11-15T14:19:00,11.62,19,22.49,17.29,4.227,8.031,36.69,7,True,[],2025-11-13T11:09:24.234819
T000043,A000262,d0129,v0042,R000564,2025-11-17T01:15:00,2025-11-17T02:53:00,48.5,98,24.36,38.97,8.862,23.75,29.69,54,False,[],2025-11-13T11:09:24.236029
T000044,A000140,d0111,v0027,R000553,2025-11-15T18:45:00,2025-11-15T20:36:00,41.05,111,31.46,30.49,6.751,18.093,22.19,63,False,[],2025-11-13T11:09:24.237538
T000045,A000279,d0002,v0063,R000888,2025-11-17T05:30:00,2025-11-17T07:18:00,33.91,108,53.73,31.53,3.698,9.911,18.84,42,False,[],2025-11-13T11:09:24.238774
T000046,A000269,d0157,v0012,R000897,2025-11-17T03:00:00,2025-11-17T04:22:00,42.9,82,59.67,12.02,12.84,24.396,31.39,92,False,[],2025-11-13T11:09:24.240010
T000047,A000281,d0124,v0058,R000130,2025-11-17T06:00:00,2025-11-17T06:48:00,12.58,48,57.46,38.52,3.099,7.159,15.72,15,False,[],2025-11-13T11:09:24.241312
T000048,A000009,d0037,v0037,R001087,2025-11-14T10:00:00,2025-11-14T11:25:00,55.19,85,21.86,22.18,11.206,30.032,38.96,90,False,[],2025-11-13T11:09:24.242550
T000049,A000291,d0092,v0027,R001063,2025-11-17T08:30:00,2025-11-17T08:47:00,6.4,17,51.63,26.23,0.943,2.527,22.59,10,False,[],2025-11-13T11:09:24.243842
T000050,A000271,d0019,v0095,R000517,2025-11-17T03:30:00,2025-11-17T04:59:00,36.94,89,41.23,37.19,4.127,11.06,24.9,97,False,[],2025-11-13T11:09:24.245097
T000051,A000349,d0033,v0039,R000617,2025-11-17T23:00:00,2025-11-17T23:05:00,3.18,5,44.19,31.91,0.722,1.372,38.16,4,False,[],2025-11-13T11:09:24.246295
T000052,A000421,d0164,v0020,R000892,2025-11-18T17:00:00,2025-11-18T19:35:00,50.22,155,34.4,12.51,11.228,21.333,19.44,71,False,[],2025-11-13T11:09:24.247532
T000053,A000345,d0102,v0099,R000500,2025-11-17T22:00:00,2025-11-17T23:05:00,40.84,65,54.62,27.64,8.411,19.429,37.7,47,False,[],2025-11-13T11:09:24.248784
T000054,A000167,d0022,v0083,R000138,2025-11-16T01:30:00,2025-11-16T02:36:00,16.54,66,24.41,23.41,4.082,9.429,15.04,12,False,[],2025-11-13T11:09:24.250082
T000055,A000400,d0109,v0087,R001083,2025-11-18T11:45:00,2025-11-18T12:17:00,20.74,32,49.84,37.82,2.241,6.006,38.89,43,False,[],2025-11-13T11:09:24.251329
T000056,A000348,d0052,v0105,R000380,2025-11-17T22:45:00,2025-11-18T00:01:00,53.25,76,21.76,19.47,13.512,36.212,42.04,130,False,[],2025-11-13T11:09:24.252632
T000057,A000429,d0095,v0145,R000305,2025-11-18T19:00:00,2025-11-18T20:22:00,51.22,82,41.09,23.04,7.333,16.939,37.48,84,False,[],2025-11-13T11:09:24.253947
T000058,A000309,d0176,v0040,R000660,2025-11-17T13:00:00,2025-11-17T13:42:00,29.41,42,44.29,38.07,5.758,15.431,42.01,23,False,[],2025-11-13T11:09:24.255240
T000059,A000039,d0024,v0026,R001072,2025-11-14T17:30:00,2025-11-14T18:44:00,54.39,74,48.22,17.44,15.43,41.352,44.1,10,False,[],2025-11-13T11:09:24.256535
